month,OIL,COAL,COPPER,IRONORE,ALUMINIUM,PALMOIL,RUBBER,LNG,NICKEL,ZINC,COFFEEARABICA,COFFEEROBUSTA,LEAD,TIN,HARDWOOD,SOFTWOOD
1990-01-01,20.5900000000000,38.0000000000000,2365.55699088135,14.0500000000000,1528.00000000000,230.555950628755,37.7299995422363,,7056.00000000000,1294.000000000000,75.8299865722656,50.5200004577637,707.000000000000,6592.00016466675,555.923950195313,203.779663085938
1990-02-01,19.6800000000000,38.0000000000000,2358.94340000000,14.0500000000000,1454.00000000000,223.945027313236,38.6800003051758,,6977.00000000000,1394.000000000000,84.0100097656250,51.2999992370605,779.000000000000,6156.09993710937,569.147094726563,203.733047485352
1990-03-01,18.1200000000000,38.0000000000000,2625.70272275848,14.0500000000000,1567.00000000000,236.340508529835,37.5800018310547,,9267.00000000000,1666.000000000000,93.9599914550781,57.6800003051758,1059.000000000000,6270.50025783081,566.256286621094,206.016952514648
1990-04-01,16.3200000000000,38.0000000000000,2685.22689088135,14.0500000000000,1526.00000000000,220.639565655476,38.0099983215332,,8939.00000000000,1686.000000000000,93.7300109863281,57.3899993896484,835.000000000000,6390.90057890625,549.913818359375,218.762710571289
1990-05-01,16.2100000000000,40.5000000000000,2740.34239088135,14.0500000000000,1527.00000000000,232.208681457635,38.7500000000000,,8698.00000000000,1775.000000000000,92.0199890136719,55.0299987792969,825.000000000000,6324.60050771484,491.881866455078,212.995758056641
1990-06-01,14.9300000000000,40.5000000000000,2583.81490911865,14.0500000000000,1566.00000000000,224.771392727676,38.6699981689453,,8422.00000000000,1715.000000000000,88.2600097656250,52.3800010681152,837.000000000000,6096.00035966797,495.390655517578,200.004241943359
1990-07-01,16.8100000000000,40.5000000000000,2769.00302275848,14.0500000000000,1571.00000000000,230.555950628755,39.0099983215332,,9318.00000000000,1637.000000000000,86.4800109863281,51.4700012207031,875.000000000000,5924.40021498413,485.858764648438,210.050842285156
1990-08-01,26.5400000000000,40.5000000000000,2956.39555455933,14.0500000000000,1782.00000000000,240.472335602035,40.0800018310547,,10957.00000000000,1615.000000000000,94.4200134277344,55.0999984741211,875.000000000000,5905.20061752930,487.516326904297,208.300842285156
1990-09-01,33.6200000000000,40.5000000000000,3040.17084544067,14.0500000000000,2067.00000000000,234.687777700955,40.6199989318848,,10844.00000000000,1537.000000000000,94.9200134277344,57.0900001525879,838.000000000000,5707.00011245117,487.751464843750,199.593215942383
1990-10-01,34.8500000000000,40.5000000000000,2742.54697724152,14.0500000000000,1946.00000000000,239.645970187595,40.6500015258789,,9145.00000000000,1353.000000000000,91.4100036621094,58.0499992370605,760.000000000000,6061.40044733276,505.237701416016,206.978820800781
1990-11-01,31.5400000000000,40.5000000000000,2583.81490911865,14.0500000000000,1618.00000000000,274.353317594075,40.7400016784668,,8587.00000000000,1278.000000000000,84.8399963378906,56.7900009155273,700.000000000000,5981.30064444580,511.328918457031,206.635589599609
1990-12-01,26.6100000000000,40.5000000000000,2484.60700911865,14.0500000000000,1522.00000000000,285.922433396234,40.1399993896484,,8158.00000000000,1265.000000000000,89.8900146484375,57.0400009155273,624.000000000000,5615.20037615356,499.204925537109,198.224578857422
1991-01-01,22.8100000000000,40.5000000000000,2447.12820000000,15.0300000000000,1515.00000000000,288.401529639554,39.3800010681152,,8569.00000000000,1206.000000000000,86.3200073242188,53.9199981689453,600.000000000000,5610.75790000000,497.053863525391,186.940673828125
1991-02-01,18.5300000000000,40.5000000000000,2447.12820000000,15.0300000000000,1505.00000000000,279.311510080714,38.4900016784668,,8672.00000000000,1188.000000000000,89.5700073242188,52.4599990844727,593.000000000000,5582.09810911865,492.556549072266,220.665252685547
1991-03-01,18.2100000000000,39.5000000000000,2409.64939088135,15.0300000000000,1496.00000000000,287.575164225114,37.7599983215332,,8700.00000000000,1199.000000000000,93.7200012207031,52.1300010681152,602.000000000000,5515.95950911865,491.117736816406,211.415252685547
1991-04-01,18.4900000000000,39.5000000000000,2471.37932275848,15.0300000000000,1392.00000000000,263.610567206355,37.3300018310547,,9023.00000000000,1254.000000000000,92.2699890136719,52.3800010681152,600.000000000000,5557.84715455933,495.435455322266,209.343215942383
1991-05-01,18.7200000000000,39.5000000000000,2340.42467273560,15.0300000000000,1299.94995117188,262.784201791915,37.2290000915527,,8499.60937500000,1127.739990234380,87.5899963378906,48.2500000000000,559.820068359375,5698.72202270508,509.753570556641,211.305084228516
1991-06-01,17.7800000000000,39.5000000000000,2218.06802725677,15.0300000000000,1283.55004882813,256.999643890835,37.9399986267090,,8296.50000000000,1067.449951171880,85.5000000000000,47.0999984741211,549.439941406250,5709.30444091186,480.299316406250,228.707626342773
1991-07-01,19.0200000000000,39.5000000000000,2231.25534581909,15.0300000000000,1297.54663085938,281.790606324034,37.3133125305176,,8515.20117187500,1063.413330078130,82.8082580566406,46.4390678405762,549.590087890625,5673.59979650879,480.299316406250,218.165252685547
1991-08-01,19.3000000000000,39.5000000000000,2236.18677692413,15.0300000000000,1259.69335937500,279.311510080714,37.0496864318848,,8154.75000000000,1047.739990234380,81.6188049316406,46.6101989746094,541.000000000000,5647.72000130615,553.483032226563,212.415252685547
1991-09-01,19.9500000000000,39.5000000000000,2318.58300291138,15.0300000000000,1212.09521484375,266.916028864115,36.7922973632813,,7675.95312500000,1025.600097656250,87.4509887695313,48.1064987182617,538.949707031250,5575.09564178467,582.792846679688,228.868637084961
