Var1,Freq,Code
Transfer DBH PBB Bagian Pemerintah Pusat yang Dikembalikan Sama Rata ke Kabupaten/Kota,542,TKDD.DBH.PBB.EQU
Transfer DBH Perikanan,542,TKDD.DBH.SDA.FIS
Transfer DBH Biaya/Upah Pungut PBB untuk Kabupaten/kota,540,TKDD.DBH.PBB.FIN
Transfer DBH PBB untuk Kabupaten/Kota,540,TKDD.DBH.PBB.REG
Dana Alokasi Khusus Affirmasi,488,TKDD.DAK.FIS.AFF
DBH Cukai Hasil Tembakau,430,TKDD.DBH.SDA.TOB
Transfer DBH Cukai Hasil Tembakau,372,TKDD.DBH.SDA.TOB
Transfer DBH Minyak Bumi,368,TKDD.DBH.SDA.OIL.P15
DBH SDA Kehutanan - Dana Reboisasi,355,TKDD.DBH.SDA.FOR.REB
Transfer DBH Pertambangan Umum - Iuran Tetap,344,TKDD.DBH.SDA.MIN.FIX
Transfer DBH Gas Bumi,331,TKDD.DBH.SDA.GAS.P30
Transfer DBH Minyak Bumi 0.5%,328,TKDD.DBH.SDA.OIL.P05
Transfer DBH Gas Bumi 0.5%,291,TKDD.DBH.SDA.GAS.P05
Transfer DBH Pertambangan Panas Bumi - Iuran Tetap,281,TKDD.DBH.SDA.GEO.FIX
Dana Bantuan Operasioanal Penyelenggaraan (BOP) Museum dan Taman Budaya,253,TKDD.DAK.NON.ART
Belanja Dana Alokasi Khusus Affirmasi,250,TKDD.DAK.FIS.AFF
DBH SDA Kehutanan - IIUPH,212,TKDD.DBH.SDA.FOR.IIU
Dana Bantuan Operasional Sekolah,204,TKDD.DAK.NON.EDU.BOS
DBH SDA Panas Bumi - Iuran Produksi,193,TKDD.DBH.SDA.GEO.PRO
DBH PBB Bagian Daerah untuk Provinsi,136,TKDD.DBH.PBB.PROV.REV
DBH PBB Biaya Pemungutan untuk Provinsi,136,TKDD.DBH.PBB.PROV.COS
Transfer DBH Kehutanan - IIUPH/IHPH,135,TKDD.DBH.SDA.FOR.IIU
DBH SDA Panas Bumi - Setoran Bagian Pemerintah,134,TKDD.DBH.SDA.GEO.GOV
Pendapatan Lainnya,79,APBD.REV.OTH.OTH
Transfer DBH Biaya/Upah Pungut PBB untuk Propinsi,68,TKDD.DBH.PBB.PROV.COS
Transfer DBH PBB untuk Propinsi,68,TKDD.DBH.PBB.PROV.REV
Transfer DBH Pertambangan Panas Bumi - Setoran Bagian Pemerintah,63,TKDD.DBH.SDA.GEO.GOV
Transfer DBH Kehutanan - Dana Reboisasi,59,TKDD.DBH.SDA.FOR.REB
Transfer DBH Pertambangan Panas Bumi - Iuran Produksi (Royalti),24,TKDD.DBH.SDA.GEO.PRO
OTSUS,18,TKDD.OTS.TOTAL
DBH SDA Gas Bumi Otonomi Khusus,8,TKDD.DBH.SDA.GAS.OTS
DBH SDA Minyak Bumi Otonomi Khusus,8,TKDD.DBH.SDA.OIL.OTS
Dana Keistimewaan Daerah Istimewa Yogyakarta,6,TKDD.DIY.SUM
Dana Otonomi Khusus Provinsi Aceh,6,TKDD.OTS.SUM
Dana Otonomi Khusus Provinsi Papua,6,TKDD.OTS.SUM
Dana Otonomi Khusus Provinsi Papua Barat,6,TKDD.OTS.SUM
Dana Tambahan Infrastruktur Provinsi Papua,6,TKDD.OTS.INF
Dana Tambahan Infrastruktur Provinsi Papua Barat,6,TKDD.OTS.INF
KEISTIMEWAAN DIY,6,TKDD.DIY.TOTAL
Tambahan Transfer DBH Gas Bumi Dalam Rangka Otsus,4,TKDD.DBH.SDA.GAS.OTS
Tambahan Transfer DBH Minyak Bumi Dalam Rangka Otonomi Khusus,4,TKDD.DBH.SDA.OIL.OTS
Dana Alokasi Khusus Infrastruktur Publik Daerah,2,TKDD.DAK.FIS.INF
Dana Bantuan Biaya Layanan Pengolahan Sampah (BLPS),2,TKDD.DAK.NON.WST
